
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"19079","Hamilton, IA",494852,473479,565300,664582,670491,863110,842475,698338,596055,638195,697202,675852,800978,863664,818269,787612,849950,908145,833031,726538
"19081","Hancock, IA",437896,506888,513801,599823,558930,558444,578911,548676,430737,587065,673673,742752,805103,872809,820147,730928,811821,831793,794189,758672
"19083","Hardin, IA",544480,550276,527576,648542,653420,699703,771107,740453,689707,788670,883936,903102,939165,987543,876827,847449,876108,878167,847632,804716
"19085","Harrison, IA",254375,282554,292258,337013,316789,320961,342521,381904,410950,379420,427751,443649,468280,422984,421716,418723,425756,437079,459892,463487
"19087","Henry, IA",617822,636948,639957,717897,737228,741003,781208,783357,745472,729077,749316,799398,819479,826022,878735,885849,912626,951484,948033,918910
"19089","Howard, IA",232948,263001,257494,303853,319267,312242,334756,308564,245874,380550,436359,449525,507743,488372,468525,453433,436479,455435,472314,472800
"19091","Humboldt, IA",270224,294429,287013,336505,327543,313639,328275,335261,342821,330693,418909,447042,460603,460105,444791,454304,430546,450788,487382,470745
"19093","Ida, IA",240252,262883,270646,313131,302801,306000,345916,381104,320347,363451,378096,389788,390939,386880,400101,404715,509850,526524,559491,633693
"19095","Iowa, IA",604694,675049,742536,778306,736853,818881,805126,867509,762188,834738,727844,877236,1080387,1014315,845451,901556,1071931,1168779,1163785,1148761
"19097","Jackson, IA",335866,350427,395136,434486,436352,438723,433365,458207,438826,468768,516830,544504,576308,570828,637492,691118,660172,655020,669376,708859
"19099","Jasper, IA",1073115,1035104,1086966,1063360,1096818,1226098,1221508,1072238,1029110,988640,1037211,1083406,1126048,1164673,1101594,1136884,1186890,1177825,1267746,1260331
"19101","Jefferson, IA",506408,510828,552037,564562,558704,544043,552636,580753,550549,534635,554441,608305,626464,606585,637681,663142,683374,732536,745127,731983
